state,county_fips,county_name,dem_votes,rep_votes,two_party,lean_dem,early_inperson,early_mail,election_day,early_share
NC,37009,ASHE,11882,30619,42501,0.2796,25786,3015,14723,0.659
NC,37011,AVERY,5894,19135,25029,0.2355,13372,1543,10473,0.5816
NC,37013,BEAUFORT,24733,45082,69815,0.3543,46247,4322,20811,0.7063
NC,37015,BERTIE,14596,10218,24814,0.5882,16910,1046,7177,0.7114
NC,37017,BLADEN,18699,25747,44446,0.4207,31574,1993,11749,0.7389
NC,37019,BRUNSWICK,99422,165540,264962,0.3752,193484,28856,48135,0.8184
NC,37021,BUNCOMBE,265133,162926,428059,0.6194,290641,55274,93627,0.785
NC,37023,BURKE,35227,81520,116747,0.3017,84088,7606,28115,0.7641
NC,37025,CABARRUS,135752,166445,302197,0.4492,189277,32828,88712,0.7119
NC,37027,CALDWELL,26838,83880,110718,0.2424,81798,7149,24483,0.7816
NC,37029,CAMDEN,3931,12024,15955,0.2464,10373,837,5177,0.6826
NC,37031,CARTERET,33463,83709,117172,0.2856,81632,8065,30284,0.7457
NC,37033,CASWELL,12530,18955,31485,0.398,19024,1942,11088,0.6528
NC,37035,CATAWBA,67490,151833,219323,0.3077,156056,15769,53293,0.7618
NC,37037,CHATHAM,77204,59821,137025,0.5634,99756,18687,21459,0.8454
NC,37039,CHEROKEE,9723,35424,45147,0.2154,26669,3222,16302,0.6456
NC,37041,CHOWAN,8066,12300,20366,0.3961,14726,1219,4771,0.7681
NC,37043,CLAY,4914,14731,19645,0.2501,13249,1218,5541,0.7213
NC,37045,CLEVELAND,43912,88330,132242,0.3321,90661,8224,35959,0.7307
NC,37047,COLUMBUS,25435,45282,70717,0.3597,45374,3132,23438,0.6714
NC,37049,CRAVEN,56264,84743,141007,0.399,97673,13205,34121,0.7639
NC,37051,CUMBERLAND,206081,152635,358716,0.5745,241691,33970,93178,0.7445
NC,37053,CURRITUCK,11192,33196,44388,0.2521,22397,2517,20560,0.5459
NC,37055,DARE,26455,38609,65064,0.4066,41932,6060,18802,0.7176
NC,37057,DAVIDSON,62453,172038,234491,0.2663,153494,18804,67934,0.7152
NC,37059,DAVIE,18059,50004,68063,0.2653,46180,4710,18944,0.7263
NC,37061,DUPLIN,21817,37485,59302,0.3679,36147,2868,21334,0.6444
NC,37063,DURHAM,386509,89111,475620,0.8126,341805,66431,77772,0.8368
NC,37065,EDGECOMBE,40067,23984,64051,0.6255,45013,3182,16879,0.7385
NC,37067,FORSYTH,294022,228392,522414,0.5628,354603,64615,116834,0.7798
NC,37069,FRANKLIN,45527,58884,104411,0.436,73483,7315,26361,0.7522
NC,37071,GASTON,109333,189482,298815,0.3659,207393,24227,74349,0.7547
NC,37073,GATES,6498,9174,15672,0.4146,9542,808,5664,0.6445
NC,37075,GRAHAM,2491,10029,12520,0.199,8120,637,4045,0.6804
NC,37077,GRANVILLE,38686,44842,83528,0.4632,61470,6534,17355,0.7934
NC,37079,GREENE,9689,13074,22763,0.4256,14796,1373,6948,0.6971
NC,37081,GUILFORD,445629,288529,734158,0.607,507633,71261,174122,0.7673
NC,37083,HALIFAX,38336,25855,64191,0.5972,42467,2991,19541,0.6966
NC,37085,HARNETT,58128,95621,153749,0.3781,107584,13709,36517,0.765
NC,37087,HAYWOOD,36998,60973,97971,0.3776,65470,9086,26132,0.7389
NC,37089,HENDERSON,75310,108654,183964,0.4094,120362,23473,44983,0.761
NC,37091,HERTFORD,17082,9261,26343,0.6484,17397,1346,8029,0.6991
NC,37093,HOKE,30473,24774,55247,0.5516,39340,3939,13821,0.7561
NC,37095,HYDE,2737,3863,6600,0.4147,2630,374,3706,0.4448
NC,37097,IREDELL,90074,183718,273792,0.329,181611,26524,73332,0.7384
NC,37099,JACKSON,25684,30479,56163,0.4573,40191,4297,13302,0.7656
NC,37101,JOHNSTON,116008,185939,301947,0.3842,210074,24256,75831,0.7536
NC,37103,JONES,5528,8837,14365,0.3848,8403,669,5671,0.6134
NC,37105,LEE,31863,43950,75813,0.4203,54819,6195,16839,0.782
NC,37107,LENOIR,33856,38914,72770,0.4652,52692,4405,16861,0.7684
NC,37109,LINCOLN,37118,100986,138104,0.2688,98813,9435,33156,0.7642
NC,37111,MCDOWELL,15740,45190,60930,0.2583,40531,3950,17920,0.7118
NC,37113,MACON,17540,39087,56627,0.3097,37923,5472,14615,0.7457
NC,37115,MADISON,14036,21471,35507,0.3953,24039,2462,10036,0.7228
NC,37117,MARTIN,15174,17352,32526,0.4665,19198,1634,12285,0.6273
